date,label,value
"2021-08-27 11:06:20",NIFTY,16656.8
"2021-08-27 11:07:35",NIFTY,16657.3
"2021-08-27 11:08:56",NIFTY,16660.9
"2021-08-27 11:10:14",NIFTY,16661.6
"2021-08-27 11:11:33",NIFTY,16664.2
"2021-08-27 11:13:27",NIFTY,16665.3
"2021-08-27 11:15:03",NIFTY,16668.2
"2021-08-27 11:16:29",NIFTY,16667.1
"2021-08-27 11:17:49",NIFTY,16666.9
"2021-08-27 11:19:10",NIFTY,16670.2
"2021-08-27 11:20:31",NIFTY,16667.8
"2021-08-27 11:21:53",NIFTY,16670.8
"2021-08-27 11:23:21",NIFTY,16667.4
"2021-08-27 11:24:40",NIFTY,16667.9
"2021-08-27 11:26:13",NIFTY,16672.4
"2021-08-27 11:27:35",NIFTY,16671.6
"2021-08-27 11:28:59",NIFTY,16670.2
"2021-08-27 11:30:20",NIFTY,16676.8
"2021-08-27 11:31:41",NIFTY,16678.5
"2021-08-27 11:33:05",NIFTY,16676.9
"2021-08-27 11:34:29",NIFTY,16682.8
"2021-08-27 11:35:51",NIFTY,16687.2
"2021-08-27 11:37:16",NIFTY,16684.6
"2021-08-27 11:38:41",NIFTY,16682.9
"2021-08-27 11:40:11",NIFTY,16688.8
"2021-08-27 11:42:00",NIFTY,16688.7
"2021-08-27 11:43:27",NIFTY,16687.2
"2021-08-27 11:45:02",NIFTY,16690.7
"2021-08-27 11:46:32",NIFTY,16693.2
"2021-08-27 11:48:01",NIFTY,16690.1
"2021-08-27 11:49:34",NIFTY,16685.7
"2021-08-27 11:51:17",NIFTY,16679.8
"2021-08-27 11:52:40",NIFTY,16681.8
"2021-08-27 11:54:05",NIFTY,16684.3
"2021-08-27 11:55:33",NIFTY,16684.8
"2021-08-27 11:57:01",NIFTY,16687.9
"2021-08-27 11:58:35",NIFTY,16689.2
"2021-08-27 12:00:40",NIFTY,16691.2
"2021-08-27 12:02:10",NIFTY,16692.8
"2021-08-27 12:03:48",NIFTY,16692.2
"2021-08-27 12:05:29",NIFTY,16692.2
"2021-08-27 12:07:01",NIFTY,16694.2
"2021-08-27 12:08:40",NIFTY,16686.4
"2021-08-27 12:10:13",NIFTY,16688.5
"2021-08-27 12:11:47",NIFTY,16687
"2021-08-27 12:13:18",NIFTY,16688.4
"2021-08-27 12:14:53",NIFTY,16690.9
"2021-08-27 12:16:34",NIFTY,16684.9
"2021-08-27 12:18:06",NIFTY,16678.9
"2021-08-27 12:19:43",NIFTY,16682.2
"2021-08-27 12:21:25",NIFTY,16686.7
"2021-08-27 12:23:14",NIFTY,16688.4
"2021-08-27 12:25:00",NIFTY,16690.2
"2021-08-27 12:27:07",NIFTY,16684.2
"2021-08-27 12:28:44",NIFTY,16684.4
"2021-08-27 12:30:28",NIFTY,16686.4
"2021-08-27 12:32:05",NIFTY,16688.6
"2021-08-27 12:33:46",NIFTY,16689.1
"2021-08-27 12:35:25",NIFTY,16691.1
"2021-08-27 12:37:08",NIFTY,16689.1
"2021-08-27 12:38:51",NIFTY,16694.4
"2021-08-27 12:40:35",NIFTY,16690.4
"2021-08-27 12:42:17",NIFTY,16689.9
"2021-08-27 12:44:02",NIFTY,16685.6
"2021-08-27 12:46:41",NIFTY,16682.2
"2021-08-27 12:48:22",NIFTY,16681.8
"2021-08-27 12:50:05",NIFTY,16686.2
"2021-08-27 12:51:46",NIFTY,16686
